Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360
1,0.335,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0.06,0.035,0,0,0,0,0,0,0,0,0.09,0,0.005,0,0,0,0.333333333,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.083333333,0.027777778,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339449541,0,0,0,0,0,0,0,0.201834862,0,0,0,0,0,0,0,0.091743119,0,0,0,0,0,0,0,0.036697248,0.055045872,0,0,0,0,0,0,0,0,0.091743119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346153846,0,0,0,0,0,0,0,0.211538462,0,0,0,0,0,0,0,0.096153846,0,0,0,0,0,0,0,0.038461538,0.057692308,0,0,0,0,0,0,0,0,0.096153846,0,0,0,0,0,0.336683417,0,0,0,0,0,0,0,0.201005025,0,0,0,0,0,0,0,0.095477387,0,0,0,0,0,0,0,0.075376884,0.020100503,0,0,0,0,0,0,0,0,0.095477387,0,0,0,0,0
1,0.333333333,0,0,0,0,0,0,0,0.204545455,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.053030303,0.037878788,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.201388889,0,0,0,0,0,0,0,0.097222222,0,0,0,0,0,0,0,0.090277778,0.006944444,0,0,0,0,0,0,0,0,0.097222222,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.206349206,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337349398,0,0,0,0,0,0,0,0.204819277,0,0,0,0,0,0,0,0.096385542,0,0,0,0,0,0,0,0.048192771,0.048192771,0,0,0,0,0,0,0,0,0.096385542,0,0,0,0,0
1,0.336065574,0,0,0,0,0,0,0,0.200819672,0,0,0,0,0,0,0,0.094262295,0,0,0,0,0,0,0,0.077868852,0.016393443,0,0,0,0,0,0,0,0,0.090163934,0,0.004098361,0,0,0,0.333333333,0,0,0,0,0,0,0,0.202380952,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0.05952381,0.035714286,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0.064,0.032,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.091666667,0,0,0,0,0,0,0,0.0625,0.029166667,0,0,0,0,0,0,0,0,0.091666667,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339622642,0,0,0,0,0,0,0,0.20754717,0,0,0,0,0,0,0,0.094339623,0,0,0,0,0,0,0,0.028301887,0.066037736,0,0,0,0,0,0,0,0,0.094339623,0,0,0,0,0,0.337662338,0,0,0,0,0,0,0,0.207792208,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.204678363,0,0,0,0,0,0,0,0.093567251,0,0,0,0,0,0,0,0.070175439,0.023391813,0,0,0,0,0,0,0,0,0.093567251,0,0,0,0,0,0.342857143,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.028571429,0.071428571,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.340206186,0,0,0,0,0,0,0,0.206185567,0,0,0,0,0,0,0,0.092783505,0,0,0,0,0,0,0,0.020618557,0.072164948,0,0,0,0,0,0,0,0,0.092783505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.344262295,0,0,0,0,0,0,0,0.213114754,0,0,0,0,0,0,0,0.098360656,0,0,0,0,0,0,0,0.016393443,0.081967213,0,0,0,0,0,0,0,0,0.098360656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339285714,0,0,0,0,0,0,0,0.205357143,0,0,0,0,0,0,0,0.098214286,0,0,0,0,0,0,0,0.0625,0.035714286,0,0,0,0,0,0,0,0,0.089285714,0,0.008928571,0,0,0,0.336538462,0,0,0,0,0,0,0,0.201923077,0,0,0,0,0,0,0,0.096153846,0,0,0,0,0,0,0,0.086538462,0.009615385,0,0,0,0,0,0,0,0,0.096153846,0,0,0,0,0,0.344827586,0,0,0,0,0,0,0,0.206896552,0,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0.068965517,0.034482759,0,0,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338235294,0,0,0,0,0,0,0,0.205882353,0,0,0,0,0,0,0,0.102941176,0,0,0,0,0,0,0,0.073529412,0.029411765,0,0,0,0,0,0,0,0,0.088235294,0,0.014705882,0,0,0,0.336206897,0,0,0,0,0,0,0,0.206896552,0,0,0,0,0,0,0,0.094827586,0,0,0,0,0,0,0,0.043103448,0.051724138,0,0,0,0,0,0,0,0,0.094827586,0,0,0,0,0
2,0.333333333,0,0,0,0,0,0,0,0.202898551,0,0,0,0,0,0,0,0.086956522,0.007246377,0,0,0,0,0,0,0.086956522,0.007246377,0,0,0,0,0,0,0,0,0.094202899,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0.083333333,0.013888889,0,0,0,0,0,0,0.083333333,0.013888889,0,0,0,0,0,0,0,0,0.097222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.203703704,0,0,0,0,0,0,0,0.083333333,0.009259259,0,0,0,0,0,0,0.083333333,0.009259259,0,0,0,0,0,0,0,0,0.092592593,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.08,0.02,0,0,0,0,0,0,0.08,0.02,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.337837838,0,0,0,0,0,0,0,0.202702703,0,0,0,0,0,0,0,0.054054054,0,0.040540541,0,0,0,0,0,0.054054054,0.040540541,0,0,0,0,0,0,0,0,0.081081081,0,0.013513514,0,0,0,0.345454545,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.054545455,0,0.036363636,0,0,0,0,0,0.054545455,0.036363636,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.341176471,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.070588235,0,0.023529412,0,0,0,0,0,0.070588235,0.023529412,0,0,0,0,0,0,0,0,0.094117647,0,0,0,0,0
2,0.333333333,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.066666667,0,0.066666667,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0.338028169,0,0,0,0,0,0,0,0.204225352,0,0,0,0,0,0,0,0.028169014,0.007042254,0.056338028,0,0,0,0,0,0.028169014,0.063380282,0,0,0,0,0,0,0,0,0.091549296,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.205673759,0,0,0,0,0,0,0,0.021276596,0.042553191,0.028368794,0,0,0,0,0,0.021276596,0.070921986,0,0,0,0,0,0,0,0,0.092198582,0,0,0,0,0,0.342105263,0,0,0,0,0,0,0,0.210526316,0,0,0,0,0,0,0,0.026315789,0.078947368,0,0,0,0,0,0,0.026315789,0.078947368,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0,0,0,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0.076923077,0.076923077,0,0,0,0,0,0,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0.335294118,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.052941176,0.041176471,0,0,0,0,0,0,0.052941176,0.041176471,0,0,0,0,0,0,0,0,0.094117647,0,0,0,0,0
2,0.336898396,0,0,0,0,0,0,0,0.203208556,0,0,0,0,0,0,0,0.064171123,0.016042781,0.010695187,0,0,0,0,0,0.064171123,0.026737968,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.205128205,0,0,0,0,0,0,0,0.076923077,0.025641026,0,0,0,0,0,0,0.076923077,0.025641026,0,0,0,0,0,0,0,0,0.102564103,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.066666667,0.028571429,0,0,0,0,0,0,0.066666667,0.028571429,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.075,0.025,0,0,0,0,0,0,0.075,0.025,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335135135,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.075675676,0.016216216,0,0,0,0,0,0,0.075675676,0.016216216,0,0,0,0,0,0,0,0,0.091891892,0,0,0,0,0
2,0.333333333,0,0,0,0,0,0,0,0.202380952,0,0,0,0,0,0,0,0.023809524,0.071428571,0,0,0,0,0,0,0.023809524,0.071428571,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.072,0.024,0,0,0,0,0,0,0.072,0.024,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3375,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.0875,0.0125,0,0,0,0,0,0,0.0875,0.0125,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.201550388,0,0,0,0,0,0,0,0.07751938,0.015503876,0,0,0,0,0,0,0.07751938,0.015503876,0,0,0,0,0,0,0,0,0.093023256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.334883721,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.065116279,0.004651163,0.023255814,0,0,0,0,0,0.065116279,0.027906977,0,0,0,0,0,0,0,0,0.093023256,0,0,0,0,0
2,0.335820896,0,0,0,0,0,0,0,0.201492537,0,0,0,0,0,0,0,0.067164179,0.007462687,0.02238806,0,0,0,0,0,0.067164179,0.029850746,0,0,0,0,0,0,0,0,0.089552239,0,0.007462687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336134454,0,0,0,0,0,0,0,0.201680672,0,0,0,0,0,0,0,0.058823529,0.033613445,0,0,0,0,0,0,0.058823529,0.033613445,0,0,0,0,0,0,0,0,0.092436975,0,0,0,0,0,0.357142857,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,0.071428571,0.071428571,0,0,0,0,0,0,0.071428571,0.071428571,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.210526316,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0.087719298,0,0.01754386,0,0,0,0.337662338,0,0,0,0,0,0,0,0.207792208,0,0,0,0,0,0,0,0.038961039,0.051948052,0,0,0,0,0,0,0.038961039,0.051948052,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0
